Model Name,Model Parameters,Epochs,Category,Category Name,Category Video,Model Time,Seed,F1 (0.5),Loss
svd,0,60,33,nightVideos,tramStation,0.021754766,4,0.785787347,0.702415833
svd,0,60,34,nightVideos,winterStreet,0.02283222,4,0.567634103,0.879457737
svd,0,60,35,turbulence,turbulence0,0.023161566,4,0.862405456,0.249355571
svd,0,60,36,turbulence,turbulence1,0.02303865,4,0.665193778,0.941761528
svd,0,60,37,turbulence,turbulence2,0.019134641,4,0.637475301,0.11079399
svd,0,60,38,turbulence,turbulence3,0.022946091,4,0.674072613,0.765949417
svd,0,60,47,cameraJitter,badminton,0.02280488,4,0.633797453,0.287252581
svd,0,60,48,cameraJitter,boulevard,0.02323674,4,0.708852657,0.351256833
svd,0,60,49,cameraJitter,sidewalk,0.022845411,4,0.666455743,0.29435086
svd,0,60,50,cameraJitter,traffic,0.024743944,4,0.82967824,0.204248156
dft,0,60,0,baseline,pedestrians,0.015420961,4,0.90630635,0.115878323
dft,0,60,1,baseline,PETS2006,0.017716148,4,0.691263883,0.226245074
dft,0,60,2,baseline,highway,0.017121617,4,0.931406059,0.241226618
dft,0,60,3,baseline,office,0.015388303,4,0.620609592,0.381405845
dft,0,60,5,lowFramerate,tramCrossroad_1fps,0.012397528,4,0.351098043,1.180746029
dft,0,60,6,lowFramerate,tunnelExit_0_35fps,0.014429963,4,0.480490521,0.784730893
dft,0,60,7,lowFramerate,turnpike_0_5fps,0.017210907,4,0.862774019,0.890511172
dft,0,60,8,thermal,corridor,0.017195261,4,0.795573357,0.259749595
dft,0,60,9,thermal,diningRoom,0.017137647,4,0.836904977,0.2350004
dft,0,60,10,thermal,lakeSide,0.017048132,4,0.550894992,0.330731245
dft,0,60,11,thermal,library,0.016941488,4,0.759182534,0.395778804
dft,0,60,12,thermal,park,0.018776894,4,0.649156435,0.317101625
dft,0,60,13,badWeather,blizzard,0.01539228,4,0.854050096,0.497515167
dft,0,60,14,badWeather,skating,0.015357244,4,0.786803039,0.817363137
dft,0,60,15,badWeather,snowFall,0.01514405,4,0,0.605185646
dft,0,60,16,badWeather,wetSnow,0.01710906,4,0.82957486,0.720248087
